,NumObs,c,p,SR
0,24,5,1,0.2746676668020707
1,24,5,2,0.3198304066292037
2,24,5,3,0.33415775902477546
3,24,5,4,0.3355757627544346
4,24,5,5,0.33391903917742877
5,24,5,6,0.3558494185694561
6,24,5,7,0.36202615939773314
7,24,5,8,0.3632051659726164
8,24,5,9,0.35389404771238875
9,24,5,10,0.3468908379166431
10,24,5,11,0.33923969410814403
11,24,5,12,0.33921621018285036
12,24,5,13,0.33861408826759276
13,24,5,14,0.32887968955601626
14,24,5,15,0.3255732993173061
15,36,5,1,0.6744299469270978
16,36,5,2,0.7100036747227902
17,36,5,3,0.7162650838267168
18,36,5,4,0.7270243618864954
19,36,5,5,0.7335443678732539
20,36,5,6,0.7293953315174975
21,36,5,7,0.7375630086580903
22,36,5,8,0.7481709002908062
23,36,5,9,0.7384920343385665
24,36,5,10,0.736074337444174
25,36,5,11,0.7366173273644175
26,36,5,12,0.7363113833829432
27,36,5,13,0.7366435228851745
28,36,5,14,0.736511637715532
29,36,5,15,0.7360498657866059
30,48,5,1,0.6047759720112373
31,48,5,2,0.6323620522021821
32,48,5,3,0.6388166462033518
33,48,5,4,0.6483411655848025
34,48,5,5,0.6393748123809031
35,48,5,6,0.6411606018423094
36,48,5,7,0.6482058756909711
37,48,5,8,0.6423970756010632
38,48,5,9,0.6546351247139316
39,48,5,10,0.6571736026992198
40,48,5,11,0.6598282659404455
41,48,5,12,0.6490405279427696
42,48,5,13,0.650431165091547
43,48,5,14,0.6592918981492295
44,48,5,15,0.6563067286933995
