,Dataset,Parameters,Sharpe Ratio,Average Turnover,Elapsed Time
0,1,1,0.18874964605465,0.11103522610586185,7.291609287261963
1,1,2,0.18906976588358154,0.11230008495569613,7.05996298789978
2,1,3,0.18835812285559225,0.11067357031272863,7.2020652294158936
3,1,4,0.18825074032621655,0.11297104445399567,6.885145664215088
4,1,5,0.18815611721718212,0.11338791457516344,6.363039970397949
5,1,6,0.18789407588554446,0.11282746791446016,6.912947177886963
6,1,7,0.18777817699894664,0.1129936171275988,6.278368711471558
7,2,1,0.1944646330632302,0.09780340217757906,10.819453716278076
8,2,2,0.19438909418008035,0.09893000311201168,10.97890853881836
9,2,3,0.19385097556273342,0.0984138982555709,10.800610065460205
10,2,4,0.19303755537033535,0.09875981160655749,10.63101601600647
11,2,5,0.19306354192266778,0.09748053807024915,10.353582382202148
12,2,6,0.19307683850774865,0.09786760654864046,9.96833324432373
13,2,7,0.19306546909326272,0.09827201386482849,9.851783752441406
14,3,1,0.21048770823636603,0.12985158875955552,11.354698419570923
15,3,2,0.21192205539689538,0.1320531536452732,10.558564901351929
16,3,3,0.21111205143119322,0.13176555440817161,10.408913850784302
17,3,4,0.21112884395457385,0.1319309540001801,10.741836309432983
18,3,5,0.21118838475163068,0.13255854349823837,10.664143800735474
19,3,6,0.21096856295624855,0.13405479905658174,10.061856985092163
20,3,7,0.21076433951734458,0.1336738426362256,9.621686697006226
