,Dataset,Parameters,Sharpe Ratio,Average Turnover,Elapsed Time
0,1,0.0,0.18906976588358154,0.11230008495569613,6.5799994468688965
1,1,0.1,0.18855870780220962,0.11511876425937913,6.760677099227905
2,1,0.2,0.1882808298960523,0.11508399297801475,6.763293743133545
3,1,0.3,0.18828068345591364,0.1150841036186453,6.680085182189941
4,1,0.4,0.18828068345591364,0.1150841036186453,6.920128345489502
5,1,0.5,0.18828068345591364,0.1150841036186453,7.222498178482056
6,1,0.6,0.18828068342169524,0.11508410360222243,6.653084993362427
7,1,0.7,0.18828068342169524,0.11508410360222243,7.027963161468506
8,1,0.8,0.18828068345591364,0.1150841036186453,7.224427223205566
9,1,0.9,0.18828068345591364,0.1150841036186453,7.187283515930176
10,1,1.0,0.18828068345591364,0.1150841036186453,6.592929363250732
11,2,0.0,0.19438909418008035,0.09893000311201168,9.415780067443848
12,2,0.1,0.19395849432645515,0.10265694143541039,10.006311416625977
13,2,0.2,0.19396483304197876,0.10269148209374555,9.815987348556519
14,2,0.3,0.19396483298830258,0.10269148217657403,10.753520250320435
15,2,0.4,0.19396483304197876,0.10269148209374555,9.692529201507568
16,2,0.5,0.1939648340206308,0.10269148228297185,9.894184112548828
17,2,0.6,0.19396483399536096,0.10269148229845093,10.217185020446777
18,2,0.7,0.19396480925197906,0.10269157951937663,9.902076721191406
19,2,0.8,0.19396497428062484,0.10269178423237285,10.714542627334595
20,2,0.9,0.1939651073942657,0.10269206641614055,10.590971231460571
21,2,1.0,0.1939652084030587,0.1026924241913192,10.918859481811523
22,3,0.0,0.21192205539689538,0.1320531536452732,11.786509275436401
23,3,0.1,0.2092307915972743,0.13548018726830774,12.112742185592651
24,3,0.2,0.20938640675839884,0.13580776979004142,11.287713050842285
25,3,0.3,0.20938640675839884,0.13580776979004142,10.70459794998169
26,3,0.4,0.20938640679139633,0.13580776971775,10.626507997512817
27,3,0.5,0.20938640675084289,0.13580776982360057,10.781853199005127
28,3,0.6,0.20938640675839884,0.13580776979004142,11.005677938461304
29,3,0.7,0.20938640676017214,0.13580776982918222,10.349714517593384
30,3,0.8,0.20938640677035034,0.13580776975864323,10.344169616699219
31,3,0.9,0.20938640677035034,0.13580776975864323,10.876653671264648
32,3,1.0,0.20938640675839884,0.13580776979004142,10.85099720954895
