,Dataset,Parameters,Sharpe Ratio,Average Turnover,Elapsed Time
0,1,1,0.18904204317748377,0.11015250490445758,7.016916751861572
1,1,2,0.1890828711824178,0.11030579205393322,7.067509174346924
2,1,3,0.18910931386964075,0.11042370440514085,7.0744428634643555
3,1,4,0.18912096287842906,0.11054783980687728,7.064599514007568
4,1,5,0.1891239209694911,0.11067802109826357,7.471915245056152
5,1,6,0.1891362963636215,0.11085464289409719,7.617202043533325
6,1,7,0.18915868613049044,0.11112301420222255,6.98018741607666
7,1,8,0.18908036255329808,0.11136179047926598,7.099828243255615
8,1,9,0.18906343104933085,0.1118591705766718,7.422728538513184
9,1,10,0.18906976588358154,0.11230008495569613,7.319302082061768
10,2,1,0.19403740886811627,0.09857568414865027,10.60350251197815
11,2,2,0.19401804926456154,0.09867901563875495,10.740413427352905
12,2,3,0.19400081967217797,0.09874317882506152,11.292773485183716
13,2,4,0.1940387468707756,0.09871582077534542,12.283798694610596
14,2,5,0.19402527947699952,0.09856832461304786,12.367069721221924
15,2,6,0.1940010288417416,0.09872901488125596,11.33753514289856
16,2,7,0.19406230545330033,0.09865441165382301,10.44446063041687
17,2,8,0.19416550279648173,0.09860524926321136,10.289698362350464
18,2,9,0.1943046876927089,0.09865747609019891,10.434486865997314
19,2,10,0.19438909418008035,0.09893000311201168,10.303523778915405
20,3,1,0.2117273182225176,0.13058696617896068,11.08906364440918
21,3,2,0.2117242064213814,0.13071461879704788,10.952961206436157
22,3,3,0.21174380436551574,0.13083164566988276,11.1488618850708
23,3,4,0.21178751995594386,0.13097265386911855,10.90475344657898
24,3,5,0.21177734175681015,0.13091098830919745,10.934860229492188
25,3,6,0.211869981881762,0.13104755124245404,11.20285940170288
26,3,7,0.21192742761055333,0.13125296953881288,11.024523735046387
27,3,8,0.2119375345067886,0.13152350779672045,11.117960929870605
28,3,9,0.21197500422674415,0.13172052424775643,12.655456304550171
29,3,10,0.21192205539689538,0.1320531536452732,12.915817499160767
