,Dataset,U,K,Sharpe Ratio,Average Turnover,Elapsed Time
0,1,1,1,0.1890117459474012,0.11029447563294524,7.195800065994263
1,1,1,2,0.18904146780322492,0.11015106085660974,6.639405012130737
2,1,1,3,0.18903819324730925,0.11011146822767987,6.5412209033966064
3,1,1,4,0.18904430088066526,0.11011535755193773,6.511774778366089
4,1,1,5,0.1890299896570595,0.1101012709371212,6.582042217254639
5,1,1,6,0.18902644343672223,0.11009923454407328,6.505389928817749
6,1,1,7,0.18902819861611933,0.11010065043871116,6.966449022293091
7,1,2,1,0.18899865495897694,0.11048810900069951,6.8848302364349365
8,1,2,2,0.18908264455652557,0.11030488833929741,6.494124889373779
9,1,2,3,0.1890502710950203,0.11025184670119574,6.471266746520996
10,1,2,4,0.18905370416634512,0.1102171909970786,6.4534900188446045
11,1,2,5,0.189014109224711,0.11017637196468129,6.348048686981201
12,1,2,6,0.18900699627584494,0.11017382363324722,6.865111351013184
13,1,2,7,0.18900834973660366,0.11024251958402949,6.552652359008789
14,1,3,1,0.18898291400935707,0.11064501676032275,7.5778703689575195
15,1,3,2,0.1891091440489238,0.11042309159832521,7.397577524185181
16,1,3,3,0.1890413712872339,0.110351019788466,6.888020277023315
17,1,3,4,0.18906084629450978,0.11043975513748328,6.695289373397827
18,1,3,5,0.18893595204150543,0.11025704108144418,7.088130235671997
19,1,3,6,0.18895531222652734,0.11037649413552811,6.809844255447388
20,1,3,7,0.18894321555451474,0.11056679648375684,7.1558873653411865
21,1,4,1,0.18902535564266695,0.11098805148107826,7.973335266113281
22,1,4,2,0.18912064513987226,0.11054766775374585,7.1822829246521
23,1,4,3,0.1890289270679569,0.11045086912850659,7.244041681289673
24,1,4,4,0.18902360405522586,0.1107033586104164,7.4080891609191895
25,1,4,5,0.18879504429007357,0.11019070737614108,7.735859632492065
26,1,4,6,0.18878048994015312,0.11039801283767563,6.99179744720459
27,1,4,7,0.18880259521175688,0.1106110343778108,6.425430774688721
28,1,5,1,0.18905199440760426,0.11112506435445656,7.4789111614227295
29,1,5,2,0.18912376866553968,0.11067887153781193,6.945085048675537
30,1,5,3,0.18898623933996014,0.11055723190811195,6.993318796157837
31,1,5,4,0.18894136565322703,0.11095471557428764,7.082375764846802
32,1,5,5,0.18871949042576386,0.1104255833029331,6.982326507568359
33,1,5,6,0.18862612855923327,0.11076541200277355,6.885939121246338
34,1,5,7,0.18862187902547106,0.1106520251365783,6.483422756195068
35,1,6,1,0.18905255756735398,0.11109019379593771,7.273990154266357
36,1,6,2,0.18913615118705315,0.11085474000690008,6.891367673873901
37,1,6,3,0.18892765182469023,0.11074321803398009,7.023845672607422
38,1,6,4,0.18882805482424714,0.1112839834612718,7.039409637451172
39,1,6,5,0.1886782294155314,0.11111381267059381,6.967733383178711
40,1,6,6,0.18855190001293898,0.11145930780492634,6.6679370403289795
41,1,6,7,0.18841137486373213,0.11090111313845194,6.57950496673584
42,1,7,1,0.1890898227078745,0.11140466557903698,7.220093011856079
43,1,7,2,0.1891583407137166,0.11112204104937888,7.087310552597046
44,1,7,3,0.188873647211734,0.11098106676675594,7.344804525375366
45,1,7,4,0.18870241559278075,0.11153374184207468,7.6653008460998535
46,1,7,5,0.18848239077698076,0.11171025385667344,7.328689336776733
47,1,7,6,0.18826012859040628,0.11131732659397874,6.934366703033447
48,1,7,7,0.1882274365704103,0.11098804920417123,6.393150568008423
49,1,8,1,0.18903536544480054,0.11154753023189622,7.116297245025635
50,1,8,2,0.18908036133041983,0.11136145783730446,6.804789304733276
51,1,8,3,0.18875121740030304,0.11091392072516679,6.983947038650513
52,1,8,4,0.1886264558401309,0.11224090843229537,7.090710639953613
53,1,8,5,0.18842987403478145,0.11200574495875422,6.814511299133301
54,1,8,6,0.1880994417901581,0.11177036461405915,6.670262813568115
55,1,8,7,0.1880411161375817,0.11149546553067913,6.424372911453247
56,1,9,1,0.18900991561121452,0.11135845174876347,7.0903000831604
57,1,9,2,0.18906338712438495,0.11185910510882476,6.193714618682861
58,1,9,3,0.1885076976564384,0.11089780809150487,6.269095182418823
59,1,9,4,0.1884152408519723,0.1124184779738403,6.2510504722595215
60,1,9,5,0.18836695229804096,0.11286352164978426,6.104643821716309
61,1,9,6,0.18796459222562698,0.11228280626117354,5.8489320278167725
62,1,9,7,0.18789380738683636,0.1121419071007483,5.65235447883606
63,1,10,1,0.18874953220153418,0.11103586063163332,6.389579772949219
64,1,10,2,0.18906945386293741,0.11229968881141995,6.082839250564575
65,1,10,3,0.18835780179656084,0.1106742115258041,6.31557297706604
66,1,10,4,0.18825077840678203,0.11297141239235244,6.39573335647583
67,1,10,5,0.18815611239737315,0.1133872268818702,6.031840085983276
68,1,10,6,0.18789408608830577,0.11282673434310803,5.975945472717285
69,1,10,7,0.18777856624687014,0.112993325633014,5.61808443069458
70,1,11,1,0.18865943357538006,0.11126048109162046,6.289238214492798
71,1,11,2,0.18911796120843877,0.11306878686723106,6.045794725418091
72,1,11,3,0.18832501393038883,0.110883023280873,6.291492462158203
73,1,11,4,0.18774553132453004,0.11350822406823594,6.859055995941162
74,1,11,5,0.18830224343144134,0.11498065527974895,6.262303829193115
75,1,11,6,0.18784468933595513,0.11384398660903998,5.903489828109741
76,1,11,7,0.1875885419575214,0.11373789486927419,5.663072824478149
77,1,12,1,0.1885824717569029,0.11118683562678788,6.192859172821045
78,1,12,2,0.18904652164402624,0.11311986287004497,6.114953517913818
79,1,12,3,0.18830488885332702,0.11159256897384143,6.312870025634766
80,1,12,4,0.18764865624472618,0.11415465354520453,6.304336786270142
81,1,12,5,0.1880299005224538,0.11589738731298727,6.07932710647583
82,1,12,6,0.1877716054312328,0.11434286117688017,5.975646495819092
83,1,12,7,0.18743680034127247,0.11445203786307431,5.66208815574646
84,1,13,1,0.18854025883548295,0.11157894609346249,7.380800724029541
85,1,13,2,0.189057017654187,0.11300417215619579,6.945917367935181
86,1,13,3,0.18822516988171256,0.11216814699386198,7.342587232589722
87,1,13,4,0.18746174253138795,0.11605213017530285,7.382265090942383
88,1,13,5,0.18776260930027278,0.116608625902937,8.856906175613403
89,1,13,6,0.18750159644365763,0.11490328635394888,8.613900661468506
90,1,13,7,0.1872623094813485,0.1151026865469829,7.492327451705933
91,1,14,1,0.18872986681230808,0.11271416171491863,9.042951822280884
92,1,14,2,0.18888672405990772,0.11343943386543578,8.041009426116943
93,1,14,3,0.18799323012249136,0.11258190425956567,8.47531008720398
94,1,14,4,0.18726455064848105,0.11583437435738331,9.786601066589355
95,1,14,5,0.1871444654409668,0.11585035989735959,10.320788145065308
96,1,14,6,0.18723472795619708,0.11526785992782669,9.365134239196777
97,1,14,7,0.18712987826357305,0.11553664981502713,8.48796558380127
98,1,15,1,0.18872718303051528,0.1132581464511226,11.398926973342896
99,1,15,2,0.18892297579298026,0.11396300433492759,12.575979471206665
100,1,15,3,0.1876795293195008,0.11396682117917285,11.816998958587646
101,1,15,4,0.18691186543036742,0.11682332540148295,11.361626863479614
102,1,15,5,0.18688839366927135,0.11688670730312638,11.01780390739441
103,1,15,6,0.18701295735442486,0.1156064251694115,9.88600468635559
104,1,15,7,0.18685820873235873,0.11622442042423897,8.25701355934143
105,2,1,1,0.1940992832300579,0.09872905063020304,16.882912158966064
106,2,1,2,0.1940374645864187,0.09857478138647402,14.19864273071289
107,2,1,3,0.19400951666841967,0.09857502956778685,16.502077341079712
108,2,1,4,0.1939915775692216,0.09856027001987169,12.624025106430054
109,2,1,5,0.19398860576492347,0.09857423044678383,12.31417202949524
110,2,1,6,0.1939764741294342,0.0985604647500942,11.841567993164062
111,2,1,7,0.19397717979456566,0.0985507500843115,12.066928386688232
112,2,2,1,0.1940859794765901,0.09895276528688035,13.640405178070068
113,2,2,2,0.19401827045664471,0.09867859005073865,12.090337753295898
114,2,2,3,0.1939291293426908,0.09861216980565586,11.862118244171143
115,2,2,4,0.19388558120595842,0.09861540509946465,11.628130435943604
116,2,2,5,0.19388189538614864,0.09864213571567394,11.779815912246704
117,2,2,6,0.19384679103952146,0.0985626003410278,10.250804901123047
118,2,2,7,0.19384557462306243,0.09854952685516132,10.230561971664429
119,2,3,1,0.1940639492732462,0.09912560467580518,11.892523288726807
120,2,3,2,0.19400090983901225,0.0987431993814283,10.666705131530762
121,2,3,3,0.19384744144846433,0.09853595917127189,10.300409317016602
122,2,3,4,0.19376904583285287,0.09854831919364546,10.586128950119019
123,2,3,5,0.19376070071379708,0.09853541512388002,9.788639307022095
124,2,3,6,0.19369341915834273,0.09844317061692703,9.122306108474731
125,2,3,7,0.1936868298623506,0.09843514812003566,8.954835414886475
126,2,4,1,0.1940591528183434,0.09907487747779072,10.048725605010986
127,2,4,2,0.19403873983549397,0.09871473132277857,9.93207573890686
128,2,4,3,0.19378487480256942,0.09845506804560232,10.083072423934937
129,2,4,4,0.1936466674426205,0.0985386709873019,9.566555261611938
130,2,4,5,0.19362829357203432,0.09837419138335923,9.591867685317993
131,2,4,6,0.19356555046253587,0.09834727118746672,9.374549388885498
132,2,4,7,0.1935055524446717,0.09832927584403824,9.180624723434448
133,2,5,1,0.19406348921801062,0.09903856303328314,10.427618265151978
134,2,5,2,0.1940250664537763,0.09856740453824715,10.134838819503784
135,2,5,3,0.19372757805329127,0.0984060521447565,10.053087949752808
136,2,5,4,0.19349978170490753,0.09851105978073522,9.997063875198364
137,2,5,5,0.19351056887528612,0.09816533751412398,9.69293999671936
